,rating,userName,developerResponse,title,date,review,isEdited
10,1,pheonixxxxxxxx,"{'id': 14416393, 'body': ""Hello, thank you so much for sharing your feedback. We're so sorry to hear that you experienced delivery issues with your recent order. If you don't receive any updates via email, please call our Customer Service team to request further assistance."", 'modified': '2020-04-02T14:23:38Z'}",Horrible !,2020-04-02 02:11:57,"This is not my first time purchasing an item from farfetch , but I’ve had an absolutely horrible experience with my last order , I got an email and text from the courier company a day before my package was delivered asking if I wanted to waive the signature before delivery option which I declined , I have a secure package box in my apartment complex with I pay monthly for to guarantee the safety of my mails and packages .They went ahead and claimed they delivered my shoe (which I saved hard for to wear on graduation ) outside, at the door without any signature  . I received a notification that evening that my package was delivered I got home later that night to no package in my box or at the door as they claimed , two weeks of waiting for them to complete their investigations after my complaint , farfetch is giving me excuses about not being able to refund my hard earned $1000 . I’ve requested for the issue to be escalated and no one is getting back to me as promised !!!!!",False
11,2,Ashes1184,,May improve over time,2021-06-15 16:30:52,"For now, it seems like a very early version of ThredUP/Poshmark/Tradesy, without as much utility.  There is almost no inventory (I think a search for dresses - in any size - literally resulted in four items).  If they had more inventory it would be hard to navigate though, since you don’t seem to easily be able to filter search results (at least not by size).  It does seem like they have more bags (at least a couple dozen, from what I could tell).  They were all super high end, such as Hermès (>$25k used), which is great if that’s what you are looking for - but you could still probably find more inventory on other sites/apps.

As they get more inventory, and have to build up the app to make it useful once people actually have to search for things, I’m sure it will get better.  For now it’s kind of a hassle.",False
12,3,Lisa20003000,,"Needs improvement, nice styles though",2020-06-06 13:04:18,"There is too much to look through, I don’t know if I am missing the filter feature for size but it’s annoying to click on so many products to find they don’t have your size. When scrolling through there are items that I previously viewed (Products are repeating). Instead of having to keep scrolling to see new products, the app should separate it by pages so I can chose the page. Number. Needs to better organize the app. It’s frustrating to have to go through 80,000 products while most of the items are not your size.",False
13,1,ChicagoRabbit,,The only one review you should read.,2021-09-15 13:38:44,"Decided to give it a try with ordering 2k worth of stuff. Had my order canceled 3 times. Due to 
“ we were unable to complete a security check with your payment provider.”  I pay with my cards all over the world and never had an issue. After first cancellation they’ve asked for a picture of my ID and picture of the credit card I’ve used. I sent it!. And it got canceled anyway second time. Third time it got canceled the next day after using Apple Pay as a payment with the same stupid explanation. What a joke. At this point I doubt it they have the items they’ve listed but would cancel your order and blame you instead of admitting they don’t have those items. No surprise this company’s stock price went down 2x last year. It’s a complete joke that has to be gone from the market.",False
14,1,23DaSavage,,Bad payment verification,2022-04-14 15:22:07,"If u new to shopping with them just like I am I don't recommend u spend over 500 dollars cuz I tried to buy some Dolce and Gabbana shoes , belt and a shirt which came out to be a little bit over $1,800 and they kept canceling my order and when I called they told me they payment system runs off a robot and they would leave a note so they could reach out to me manually which they did and they told me to send the credit card I was using and my ID to they email which I did and then I placed the order again thinking everything was gone be okay but it got cancelled again so I reached out again and they told me my info wasn’t good enough I even used a different payment method and got the same results and with that being said I would never try to buy from Farfetch again",False
15,1,Icbucket,,Overpriced trash,2021-12-17 15:04:35,"Farfetch has become one of the worst places to buy your clothes. It’s overpriced saturated basic pieces from the regular designers mostly. Even though it’s a bunch of boutiques, nothing cool and just a headache putting up with all the different lame shipping methods each boutique chooses. 
Customer service is horrendous and should be fired immediately.
Too many new changes, like asking for account holder who’s supposedly not me, even though I never entered anyone’s name as an account holder , plus the app greets me! My name! Constant new changes to a mediocre garbage collection of cloths, unpredictableness because of varying retail partners, weak coupons that expire too quick, horrible condescending sows on the other end of customer service. 
If I could rate this garbage app zero, I would.",False
16,1,Cesar Villanueva,,SACAMMERS! Dont buy from this store!!,2020-12-14 20:41:05,"Scammers! Never buy from this store. I bought an article online through the web some VALENTINOS shoes and they arrived in Miami in another color. Proceed to return it as corresponds with the return label. No matter how many emails I sent and calls, they never responded. They never refunded my money. Even when I received an email that would refund me, they never did. They want to scam me and steal with US $ 850 I can't allow it. Submitted the claim to PAYPAL and they have more than 95 days that the claim is open and PAYPAL has not yet closed it because they continue and continue to wait for information from the store. I submitted all the EVIDENCE. They are scammers who do not respond and take more than 180 days to make you a refund. SCAMMERS!",False
17,1,Mooshokhachikyan,,They just cancel my order,2017-12-13 19:45:32,"So usually im not leaving review or comment if its a bad application or company im still positive and giving them 5 star but this one is totally different story 

So i put my order like a week ago before Christmas with hope its gonna arrive exact day for Christmas. Anyway i put the order i got email we’ve got your order okey after 3 days they sending me email and saying we just hot your cancel and refund your money ( I didn’t cancel anything: its okey let me put another order so now that item is expensive or my size sold out . And im looking my statement so they charge me they refund me and after 2 days they charge me again : so now i have to call bank and do 3 way phone call to get my money back : thats the whole story thank you",False
18,1,Pickles Bickles,,Disaster of a company,2019-01-11 12:53:13,"Farfetch is the perfect example of a company which raising funding by bluster and hype and turning a “profit” with their insanely bad customer service. Whoever is heading that department is probably an incompetent yes man who has no idea what they’re doing and doesn’t care about the impact. Their customer service team is disempowered, useless, scripted, and their hands are completely tied. They’ve been holding onto about $5,000 of orders which they charged weeks ago, but haven’t shipped. It’s ridiculous to get it resolved. If this is how they treat their high spend customers - it says a lot about how ineffective they are as a corporation l. It will catch up to them. People don’t understand that Farfetch as an aggregator, they’re a glorified search engine working off of commission.",False
19,1,Quest Anderson,,Disappointing Customer Service,2020-05-19 18:58:20,"I am truly disappointed by this company’s customer service; Especially to returning loyal customers. I spoke with a representative over the phone who after encouraging me to reorder an item I have not yet received a refund for, told me that this happens all the time to other customers. He processed to tell me that even though it is a huge inconvenience they can’t do anything about it and that they’re sorry.

You’d think if you’re getting constant complaining about the same thing you’d look into how to fix this issue for your business, and your customer service.

I will not be shopping with FarFetch anymore. I will take my money elsewhere. I did not feel like a valued customer.",False
20,5,Liiil12346,,My last resort before actually purchasing anything,2019-05-24 12:15:02,"I always browse through apps to shop but end up purchasing the items from here as the shipping ends up being much less than the other apps and they have a greater variety obviously.
I just wish if they can make the interface a bit more beautiful for the eye. It doesn't have any problem but when scrolling through apps Farfetch seems the least organized one.",False
21,5,Miss Shalom,,Obsessed with Farfetch!,2019-10-24 18:32:09,It used to be only possible to buy certain brands when I traveled to Europe or when one of my friends would go I’d ask them to bring things back for me. Now that I have discovered Farfetch it’s made it all so easy to do right from my phone anytime I want to! I really really love it! They also have amazing sales and give out discount codes often! Very easy to use and way more convenient then going all the way across the world to shop!,False
22,5,bqz93,,Best in clothing business,2019-03-02 22:44:47,"I am beyond glad with Farfetch fast and easy shopping app. This is my second time ordering from here and I can say I am amazed with how this company operates. I am living in Kuwait and got my order from Italy in one day and the other from the US in two day. Even though it’s on weekends without extra charge or anything! Not mentioning that they had 10% off for Kuwait national and independent day:)

Thank you Farfetch for an amazing job you guys deserve 10 Stars 👏🏼",False
23,5,WeFa77,,Farfetch had been amazing!,2021-09-26 03:02:07,My experience with Farfetch has been amazing!  I am super picky when it comes to my fashion choices and Farfetch has been able to provide me with the specific items I have been looking for. Farfetch has been my “go to” for those high end luxury specific items of my desires and has not failed to disappoint. I am so looking forward to receiving my new purchase!,False
24,1,emilioestrada,,Incompetent customer service,2019-07-30 21:49:56,"This application has a nice selection of items and sometimes can provide nice prices. Sadly they can’t seem to achieve a minimum decent level of customer service. Their processes are completely a disaster and their promises are false when it comes to time of arrival. They don't provide any help and are the most useless team of customer service. I would seriously not recommend this app. It’s been 2 weeks, 15 emails, 8 phone calls and 7 cancelled orders in order to make 1 simple order that i have still not received. They are basically useless people and seem to have a serious issue when it comes to logic, common sense and being helpful.",False
25,1,jordanjasper,"{'id': 31753585, 'body': ""Hi,\r\n\r\nThank you so much for taking the time to share your feedback. We’re sorry to hear that you weren’t satisfied with your recent shopping experience.\r\n\r\nSince we don't have access to your account details here, we kindly invite you to send us an email to customerservice@farfetch.com so that we can help with any unresolved issues.\r\n\r\nFARFETCH"", 'modified': '2022-08-30T22:24:34Z'}",Be aware - poor customer service with high end products ended up a loss of lot of $$$ on customers,2022-08-24 16:46:54,"I ordered a pair of expensive shoes with Farfetch as a first time customer and the order went wrong. No refund, no further assistance from them, and I was informed that they just simply closed my case. When I called to see if anything can be done, I got talked down by someone for minutes who was uninterested to listen, was unwilling to help and not did not empathize with my situation at all. I am still trying to see how I can recover my $400 loss, but I will never order from this company again and would not recommend to anyone.",False
26,5,Vdami02,,Outstanding,2020-05-18 12:37:43,"Have been using for a few years now and am constantly amazed at the selection, overall customer service, speed of shipment and delivery process, and ease of use as well as updates to the app. They actually take comments into consideration and continue improving. The personalized notes often sent with packages are also a totally unnecessary but welcome extra touch.",False
27,2,too-short,"{'id': 13183084, 'body': ""Hello, thank you so much for your review. We're really sorry to hear that you experienced issues placing your order. We aim to make our shopping experience secure but also simple and fast, so we do appreciate your feedback."", 'modified': '2020-01-29T15:20:22Z'}","Decent app, bad shopping experience",2020-01-25 07:35:26,"They don't validate transactions when you buy, but rather get them confirmed or rejected a day or so later by their payment processing service. My order got canceled the first time, so I wrote them and was told to order again. Ordered again, got canceled again a day later, with them asking to send a picture of my CC and my ID. It was bad enough experience for me that it sort of ruined my appetite for those shoes and dealing with them. Being called a criminal and wasting more time ordering than the shoes are worth is just ridiculous. I'm so done with this service.",False
28,1,Jcam1692,,Do not order from Farfetch,2018-11-03 16:47:35,Terrible service. My item was returned back to Italy to the original shipper but I was still charged and have yet to receive a refund. I called customer service and was told by 2 different people that they couldn’t do anything for me until they found out why it was returned back to the original boutique. I repeatedly said that I did not want the item anymore and just wanted my money back but was told that they couldn’t do that. So ridiculous and so frustrating. They’re holding on to $400 of mine and will not give me any time table for when or if that will be returned. I will NEVER order anything from farfetch again.,False
29,5,MKEfashion,"{'id': 14030556, 'body': ""We're happy to hear that you're happy with your experience so far! If you have any questions or concerns, our Customer Service team is always happy to help."", 'modified': '2020-03-13T15:10:20Z'}",Seamless order process,2020-03-09 13:05:18,"So far so good with the app. I was able to locate an item I was interested in. After mulling it over for a few days, I placed my order. I was able to see my estimated delivery dates, which appeared to allow me to receive my item relatively quickly. I received email confirmation and hope my item arrives as promised. Update coming soon.",False
30,1,mskladch,,Poor customer service,2022-06-14 01:18:54,"I placed an order yesterday (order number W88DRD). The transaction went through (I checked it in my bank). Then Farfetch canceled my order without my consent. I contacted customer service right away and let them know that I still needed my order. I didn’t get a response. 
The next day I tried to re-order my initial order, but some of the items were no longer available. I’m disappointed that the customer service ignored my request, that I waisted my time for ordering and re-ordering, and that some of the items were no longer available.",False
31,5,Alzthecddj,,My first time,2018-11-10 03:20:47,"I had a great experience! Compared to what you ask, well I placed two web orders here I felt connected receiving tracker, emails and eta. For the other order I looked for emails, updates, next thing I know there was a package at my door, not cool other guys. 

My order arrived when it was promised and the merch was excellent! 

Just placed another order today with full confidence it will be right!",False
32,5,Saiko_707,,Latest update is the worst,2018-08-05 10:26:26,"The latest update doesn’t give you chance to see details of your order under order category.
For example if you order 4 pieces appear only 3 . If you order 6 appear only 4 .
Sent to customer service but the replay it’s normal we can see here at our system the order details clearly .",False
33,1,Ybeezy23,,Inconvenient,2020-08-10 00:03:36,I ordered a comme des garçons shirt from here on may 16th. My shirt just arrived on august 8th. I believe I payed to have it shipped to me in 3-4 days. I contacted usps because when I went on the dhl website it said that it had been shipped to my local usps hub. Usps told me to contact dhl and I basically heard nothing back from them. I went to every usps hub in my area and they all told me they didn’t have it. Extremely inconvenient because I was planning on wearing the shirt for an event I had coming up. I don’t recommend ordering anything off here if you want it in any kind of timely manner they might take 3 months to bring your order !,False
34,1,lazysnack,,Terrible customer service,2018-12-02 01:08:17,"It is my first time writing review in anything. I put my order in black friday and somehow my order got cancled. Now that I’ve the biggest sale of the year and I contacted farfetxh theough the website and email but i havent heard anything back from them  for 3days although the policy says they will respond within 24hours. I also tried calling up the customer service and everytime i call at different times, they are busy. I let the phone wait for it to be connected for 45minutes, and it is still waiting on the line. The customer service needs to be improved.",False
35,3,nayaonthebeat_,,"Endless options, but there’s just one flaw",2020-11-26 00:24:44,"As I was going through the check out as I was in putting my card information in the only way I was able to complete my purchase was if I save my car details for next time. I usually don’t do this method because of my fear of third-party scammers or anything of the such but it was the only way I can get my item, and I wish it didn’t have to be that way. I hope that changes in the future.",False
36,1,血族萝莉骑士,"{'id': 28178772, 'body': ""Hi, thanks for getting in touch with us! We're really sorry to hear that you've experienced issues with your order. If it hasn't been resolved, please feel free to contact us at customerservice@farfetch.com and we'll be happy to help."", 'modified': '2022-02-21T19:55:22Z'}",Bad policy and customer service,2022-01-22 18:32:41,"I bought a hoodie that I really want when it coming out. And they send me the wrong item, when it contact the customer service, they said they can not do exchange and the only thing is refund. The price changed to higher and the price is three hundreds different. If I do return, refund and buy the item again I need pay three hundreds more. And then they only reply me they can not do because the policy. So, I want to ask, am I the guy pay three hundreds more for the fault that Farfetch did?",False
37,5,Erik825,,One of the best e-commerce apps out there,2019-03-22 06:24:15,"I have used Farfetch for the last 2 years. Just downloaded the app and I am blown away. Very intuitive to use. Easily walks one through the process of purchasing, then makes tracking orders easier than anything I have used. Excellent shipping integration. Couldn’t ask for a better experience.",False
38,5,B Shurbet,,Order,2020-06-18 14:32:57,My experience with Farfetch has been great! Easy navigation on the web-site! Super easy ordering without having to retype personal information! Just a few clicks and ordering is done! Everything has always come perfectly packed and shipping has been reasonable! Couldn’t ask for more!,False
39,1,Yung Dadddy C,,Horrible  service,2020-12-27 04:03:50,"I was charged for an order, and the order was cancelled due to some form of verification. I received an email saying it can take up to 14 days for a refund. If Farfetch has been hacked, or has experience with fraud then they need to invest in better systems/software to deal with this. Cancelling an order and forcing customers to wait 14 days for a refund is a scam. Especially in this era of COVID-19, if this issues isn’t solved I’ll never use Farfetch again and will tell everyone I know not to use this app based on my experience.",False
40,5,KimRSLV,,Rewards,2019-10-12 12:00:09,"I love shopping Farfetch, not only can you find items that are unavailable at other retailers but also you’re rewarded for being a customer. They have a great membership program where you’re offered free shipping, discounts up to 30% off and early access. I always recommend shopping Farfetch.",False
41,5,colenickels,,one of the best mobile shopping apps,2020-05-30 05:55:55,every time I order it gets here internationally within 4-5 days and the return process is easy and fast. The negative reviews shouldn’t be at the top because it discourages people from buying from here when in reality it is a good service they are providing.,False
42,4,podisc,,iPad version - ehh,2020-07-08 13:15:38,"I hate it when you click on a site and have to turn your iPad sideways especially using the 12.9”.  I prefer looking at it like a book...easier to hold.  Also couldn’t find a back button.   Hard to navigate, can’t select several categories-one one at a time.  Otherwise....they have great service.  Returns always easy.",False
43,5,AAB2388,,Absolutely in love!,2020-11-15 12:11:32,"Been using the app for 2 years now. Absolutely in love with everything!!! I already recommend it to everyone I know. Great user experience, love the product mix, prices and the tracking of my shipment.
Whatever you guys are doing keep it up!!",False
44,5,Kinngjoee,,Amazing App But needs a Dark Mode,2022-11-16 16:42:55,App needs a dark mode this would be most appeasing for people at night that have iPads or big screens. A big white screen is kind of off putting at night when scrolling for excess durations at a time.,False
45,5,lovelyDolll,,So far so good,2021-11-10 20:32:30,I’ve seen / heard reviews about this app way before I made an account. But I have ordered 3 items so far. & every single one has came exactly shown in pictures. Good Quality. Fast shipping. I’ll continue shopping here for a while.,False
46,1,tpp2022,"{'id': 27382553, 'body': ""Hi, thanks for getting in touch with us! We're really sorry to hear that you're experiencing issues with your order and your refund. If it hasn't been resolved, please feel free to contact us and we'll be happy to help get this resolved for you."", 'modified': '2022-01-11T23:06:49Z'}",Never received the item nor refund!,2021-12-23 05:51:21,I’ve ordered a pair of jeans and I couldn’t receive them because I was not at home to sign. They didn’t allow me to change it to collect at fedex office so they sent the item back without communicating with me. They received the item two weeks ago but haven’t received the refund yet. Such a scam. Never shop with them again. Helpless customer service that made me feel like I was talking to the automatic robot that answers questions….,False
47,1,Adele Schwartz,,Fraudulent company - that does not provide return to long time customers,2022-03-14 14:21:48,After being a Privat Client for many years Farfetch failed me  and many other loyal customers to deliver on its core value proposition and process the return. Even after I bough the fitting size of the dress they refused to process my return. And now I’m stuck with two identical dresses one of which is too big for me … given that the dress is close to $1000 dollars - I have to call out  this predatory behavior of the public company ..,False
48,5,Rndifnfioe,,Best site but need some promotion to whom buys a lot,2018-11-19 08:04:02,I love it. There are lots of best designs. The only thing that i wish it that there should be more promotion to someone to buys a lot on farfetch. Because so far I bought about 20items and I did not have any opportunity to have a promocode for discount that is the only thing That i want to suggest,False
49,1,Brandon Stanek,,Horrific customer support,2021-09-15 19:33:35,"Do not order from them here or on their website. They will require a signature upon delivery, which is great if they told you before you ordered. Instead I find out when the FedEx package doesn’t arrive and their CS team quite literally repeated talking points over and over. Request for a manager takes 24-48 hours which is pathetic. 

This was my first and LAST order with these morons. Save your time and energy and go to the actual designer directly.",False
50,5,Des_1983,,First stop shop,2021-02-26 00:55:15,I love Farfetch! I used to have to browse multiple sites to find the things I love. Farfetch has all the designers I love. I even was able to find a birthday gift for my 12 year old so (Supreme). I haven’t shopped in another site since I have found Farfetch.,False
51,5,Miko taphouse,,Birthday outfit,2022-01-11 10:57:27,I stumbled across this site searching for the perfect outfit for my birthday cruise which is in May I love Farfetch they allow me to buy top quality items on my budget and pay on time… Beautiful clothes easy purchase everyone’s happy….😍😍,False
52,1,ty 168,"{'id': 15547801, 'body': ""Hi, thanks for getting in touch with us. We're really sorry to hear that your order didn't arrive as expected. Farfetch offers free DHL collections so your return can be picked up at no extra cost. Please contact our Customer Service team for more assistance."", 'modified': '2020-05-25T14:03:44Z'}",Experienced,2020-05-23 20:09:57,I’m so disappointed with fartetch . Saw lot of bad review and now I met myself . Order an off white bag the shipping speed is okay but the package arrived damage . My bag box was damage I don’t mind about that but my bag also stain and the logo tear off seem like they send me the bag on the display that everyone touch it and try . I’m about to return it but as you know there no DHL close to me . That’s my experience just telling myself not to shop from this app again . I must spend my money to buy something that worth the price.,False
53,1,quan aqua faust,"{'id': 27681563, 'body': ""Hi, thanks for getting in touch with us! We're really sorry to hear that you're experiencing issues with placing your order. If it hasn't been resolved, please feel free to contact us and we'll be happy to help get this resolved."", 'modified': '2022-01-26T18:26:31Z'}",Unexpected cancellation,2022-01-22 18:18:18,"They will cancel your order soon after, single because they’re system is unable to quickly verify your payment method while in the US. Also the crappy customer service, I called many times to complete my order and they keep giving me the run around, they told me to send pictures of my ID and MOP, I did and they still cancelled my order saying that they couldn’t verify my identity. What kinda stupidity is this.",False
54,5,Iman Red,,Best customer service,2018-09-10 11:41:09,"I never review any app, but I had to for this one. Best customer service!!! Called to not only confirm that my shipment will be delivered ASAP, but they also called to make sure I got my order. Thank you !!!! I’ve been a customer for years, and will continue to be.",False
55,5,Retlaw Edinburgh,,Keep it Gucci,2021-08-04 03:32:46,This website is fantastic! It brings top notch designers of fashion straight to your door step with the ease of simple swipes and clicks. Easy to navigate and filter - shopping for fashion worthy of the runway has never been easier!,False
56,1,Nylan2xx,,Nonsense cancellations,2022-03-25 22:08:14,"I place 4 separate orders over the course of 3 days and they all was canceled.  I have more than enough money in my bank account my account has been active for more than 6 years. I have never had a problem. This last order that was canceled the rep did it manually, they held my money for an entire day and then canceled so now I have to wait to be refunded which can take up to 14days. What a fn inconvenience. I hate this app.",False
57,5,Mr. Kale,,Great and User-friendly App!,2020-10-22 00:24:20,"Great app! And very easy to use. Excellent features, too! App stores Favorites for future purchase and is easily navigable from shopping cart to shopping menus. Policies easy to locate and understand.",False
58,2,Хансейтова,,Buggy terribly!,2022-12-03 10:05:38,"Well, is it really impossible to hire a good programmer?! This program is terribly stupid, patience is not enough! with any action, it takes 3 minutes to think, you want to see the product, it opens for 2-3 minutes! I don't have that much free time! I think with such prices for goods it would be possible to make a quality program! 🤦🏻‍♀️",False
