,userName,rating,isEdited,title,review,date,appname
10,Camaroannie,3,FALSE,Broken app,"I don’t understand what’s going on, I could open the app, see where it says orders, etc. but that’s it. If I click on anything, and I mean anything, it continuously says oops something went wrong! I deleted the app in hopes it would fix the problem, but that only created a new one. The app has completely disappeared from my phone after updating it, I guess that’s what they wanted me to do but… the only way to get to it is through the App Store. The app refuses to be on my phone. What is going on? I’m not gonna go onto the App Store every single time I wanna try and see if it works. I really want to know why my phone thinks it’s installed, but I don’t even have the app on it physically, it does not exist after the update. i’ve never seen an app wanting me to go to the App Store in order to get to it. It logs me right in with all my info, so what the heck is going on? I don’t know how else to explain this weird situation. it simply does not exist anywhere on my phone except for the App Store.",05/10/2022 23:26,amazon
11,there should be more prayer,5,FALSE,Be thankful for their kindness,"There are too many times where I’ve needed something I could not go out and just buy. 

I can say where something unexpected occurred that was more than I believed could happen for when God was with our family. Thank you for beyond meeting my expectations when I needed to have groceries in a hurry, rewards covered opportunities for helping my daughter, return item(s), new purchases for my daughter and I, or have gifts find the people that deserve goodness in their lives. Their company has morals behind the people that are in support when it comes to caring for assistance in my ability to be a single mother and keep going despite my inability to staying on track often. 

Thank you for investing in me, families that are in need and/or unable to go places due to unfortunate times of emotional rehabilitation to restore families to prosper.",01/09/2021 18:07,amazon
12,beepboppissedoff,1,FALSE,What are filters and why offer if they aren’t applying these filters,"So when I search and the. Go to filters for the search I have many available filter options and literally none of them seem to effectively work for me, no matter my filter selection I still see items that should be excluded and I mean on page one of search results price limits not followed categories not sorted nothing works. All I see are reposts of the same items from “different sellers” but often it’s all the same items , and absolutely no used items listed and the variety all seems to be fluff and no real variety and many many in stocked items etc etc unreasonable markups in sold out items during high demand periods, its clear the quality of service has dropped to where eBay would be preferred for many items because of the unique and realistic listings , compared to this app now. In recent months or maybe last couple years the site and app and service itself has become cheap and limited in terms of its past when it was vast and cheap and well managed . Loosing its value now.",22/11/2022 8:46,amazon
13,Carterdl,2,FALSE,So many bad changes/updates,"Bring back the drag and drop save/compare option. It made it easy to scroll through other items in your wishlist. Now we have the heart button to add an item to save an compare but we have to actually pull up the list to look at the items. Instead of having easy access. 

Make it easier for us to browse through the customer review pictures. When I click on a single picture and then go back to the full list of pictures it takes me all the way back to the top of the list instead of taking me back to where I was. Imagine looking at products that have over 100 pics and you have scrolled through 50, you enlarge a picture, and when you’re done looking you hit the back button and they take you back to #1. That’s annoying if you plan to look at more than one picture up close.

Also, please allow us to scroll through items we’ve searched for without having to press “next page” every 2 minutes. We used to be able to just scroll unlimited products all on one page",13/10/2019 20:11,amazon
14,Earsoftears,3,FALSE,stuck in spanish,Amozon  has always been  the easiest way to order  I like the one click and I like it when the Amozon truck delivers but that is all becoming more inconvenient.  But the latest glitch has stop me from ordering a single thing .  Its stuck in spanish !  about a month ago I went to order and every page and every item was spanish  I worked trying to find a setting  finally had to do a google search then proceded tofollow the steos  ( feeling this would fix it but still wondering how it ever got change to spanish) But after finding a setting for region and english  It didnt work. soI hadnt ordered inweeks . then again today without remembering the problem  went to order and !!! still stuck in spanish . and like the time before I tried endlessly to reach costomer service but its only multiple choice none of which came close  So hear I amwriting a review  hoping this will get the attention of someone. This is a gme changerfor me .,16/06/2022 2:16,amazon
15,ThomasDav,3,FALSE,Absolutely Hate the New UI and Color Crime,"I’m not normally one to complain, but the new app update was a grand waste of time and effort.  If you paid for that abomination, I would demand your money back... and an apology.
The user interface change is so different from the previous app that it makes for a very confusing and frustrating experience.  I spent more time figuring out the cluttered navigation than I did shopping - and I apologize, but I do not believe you could have found a more hideous chimera of accent colors if you applied two AI’s and a team of failed design school dropouts to the task.  That sickly, washed-out mint green, tried to be aqua, and God I wish I were blue, is absolutely repugnant and nauseating to behold.  Marketing FAIL!  Please, for the sake of those of us with good color vision make it go away.  I will have to use the mobile website until it is purged.   If you just put it back the way it was, I’ll give it 5 stars out of mercy and never complain again.",04/06/2020 4:33,amazon
16,nikkibanks,1,FALSE,iPad version full of bugs,"I expect a better iPad version from the largest richest conglomerate company in the world.  The iPad version hasn’t had an update released in a very long time, looks and functions different than iPhone version, looks and acts like it hasn’t been updated in 5 years.  

iPhone version looks and works much better and efficiently (except the lists section which is counter intuitive on iPhone version).  iPad version has dozens of frustrating bugs - to look at a picture closer is hilarious, to scroll through search results defaults back to page 1 of your search each time which is scandalous, when you click on a product the page loads and expands for several seconds and takes a while for it to line up with other hyperlinks which is amateur.  

Who is in charge of Amazon’s app developing?  They need to have the awareness of keeping all apps on Apple devices the same, update the versions at the same time with the same look, make sure the iPad version is up to date and working perfectly like the iPhone version does.",18/01/2021 18:57,amazon
17,Mindless Drivel,2,FALSE,Poor UI and broken transactions,"The app consistently fails to add things to your cart. Sometimes doesn’t respond despite repeated pressing of “Add to Cart”. Reload same thing. 
The search system has really went down hill. You can do a search on almost anything, a movie for instance? And they will find 20 thins completely unrelated to what you wanted and so far out of left field you’ll wonder if you typed something wrong. Think you have it working? Haha! Heres a picture of a dog and a link back to the main page so all your search was in vain and you have to start over! But wait! There’s more! Here’s a stupid Alexa icon that never goes away and cant be removed and it’s strategically placed so you hit every time you scroll. Here’s some sliding menus that don’t fit your screen! Like that suggested item? Too bad! Broken link! 
Ive given up shopping via this app as its basically a frustration inducing waste of space on my phone. Really only good for tracking shipments- when I can get it to work at all.",03/04/2022 14:11,amazon
18,Jane7344,2,FALSE,Problems with latest version,"Another problem with latest version (sept 2021).  Tried to look at subscribe and save order - just looped sending me back to shopping the subscribe and save items and only showed about 10% of available products.
This app is useful only for checking on order status and not for shopping - too bad.

Can’t place order. It just returns user to proceed to checkout - looping forever. When try to display orders it asks for the login again (even if I just logged in a minute ago). The login completes and then displays a pop up box saying there was a problem try again. You click ok and the app hangs saying loading information Minutes pass. When you get tired of waiting and go back to the item, again you get into the same loop. Sometimes you can get in on the 2nd or 3rd try, just did 8 try and still didn’t work. This app used to work fully and now my am pretty useless - Been a month since this version was released and no fix in sight.",05/09/2021 16:54,amazon
19,Nahikuan,1,FALSE,Terrible,"How does this app have such good reviews? It has sucked for awhile now because of the constant updates, but it just gets progressively worse with every new update. I just want the number of results for a product I search, the feature when I would hit the home button and it would refresh my homepage, and for my products to be labeled correctly when it’s not available. Is that so much to ask for developers? With the newest “update” I can no longer manage my recommendations anymore. What is going on in the developer’s minds? Y’all need to get it together.

*Update: I stand by my statements. It just get worse with every “update”.

Whoever is in charge of updates on this app need to be fired immediately. Every update makes this app harder to use and now it’s impossible for me to search for stuff because it just blips out and goes back to the original page. What’s the point of having filters if I can’t search within those filtered results? If I could give this app zero stars. Bettor off just using the search engine.",16/09/2022 3:13,amazon
20,RedSwan91,5,FALSE,Less user friendly than it used to be,"I used to like the app - it had most of the same searching ability as the desktop browser. With all the updates recently, it has to reload the page each time I want to add a filter even if it is a deeper level of the same type of filter. I also used to be able to use a search term and select ANY category I was interested in. Now a search term may only yield a few options to narrow a category. Example: I search for “stainless steel” and I can’t refine my search by the category of “arts, crafts and jewelry making”. If change the search term to “stainless steel charms”, I can refine my search by “arts, crafts and jewelry making”. The problem is that “charms” may not be the exact thing I am looking for and I want a more broad search but not so broad that I get entirely unrelated items.",02/06/2020 18:37,amazon
21,VIETUAL17,5,FALSE,Forcing people to buy items that they are not ready for.,You have j jeopardized your integrity. You are trying to force people to buy items that they want to save for a later date. I have taken off all the items that I had wanted to buy but at a later time. Now I will not buy those items because I don’t have the time to look through everything again. Forcing people to buy items they are not ready to pay for is a very bad judgment on your part. You better figure out what you can do about it before other people go elsewhere for the same exact items you have but you are trying to force people to get them at a time that they don’t want to get them. Take care and I hope you solve your problems why people are buy less than before,03/03/2021 19:50,amazon
22,CartKoi,3,FALSE,Noticeable UI experience between iPad and iPhone,"Apologies if this sounds a bit odd but ... On my iPad units (iPad Pro 1st gen and iPad Air), all product items renders slower and specifically during item previewing, it is extremely sluggish upon selection etc. + if I view a few product videos, the top navigation frame often times will just disappear and I no longer can go back nor select anything to move forward (press the home button and swipe up to close the app).  
EFFECTIVELY, the user experience on the iPad has become quite poor and unreliable for quite some time (I finally got around to submitting a review to share it).  
INVERSELY, using the app on my iPhone 12, it works quite reliably well as expected.  In fact, I often use my iPad to view some products ‘on the big gear screen’ as needed but end up using my iPhone to wrap up and make the purchases.  Hopefully someone on the app dev side can look into this odd scenario.  Thank you",05/04/2021 5:26,amazon
23,cat2214,2,FALSE,DRIVERS WILL PUT PACKAGE NEAR DOGS IF YOU HAVE ANY,"Im only giving this rating because this has been a three time experience. You guys took away the option of how we want our packages handled. I have a roommate with a dog who is usually in the front of the yard. Hes very friendly but will EAT THE PACKAGES AND TEAR UP/EAT THE PRODUCT. For some reason the drivers will put the package where the dog can get it.( we have a sitting bench to where the dog cant even reach, on our porch but the drivers still decide to put it in front of the door where the dog can reach) One of the drivers even put it on the ground and took a picture of the dog like that was something i was okay with?!? Like heads up if you have dogs who like to chew on packages, the drivers will leave it where your dog can get it. Theres absolutely no way to tell the drivers on their app either so this is why im giving this rating because the drivers continue to do this thinking its cute but its making me lose money on product that isnt being handled correctly.",03/04/2022 0:36,amazon
24,tea_berry,1,FALSE,Doesn’t work well on my iPad,"Edit: reviews started working well, but just today I can no longer use the app on my iPad 12.9” as the add to cart section is cut off from view! I think my husband will be happy I can’t purchase anything right now 😂. There is also a white bar across the bottom. Both portrait and landscape modes are broken. Very bad, I can’t be the only person impacted by this?? 

I don’t know what happened but it’s terrible on my iPad now. I noticed the change maybe a month or so ago. Tapping the reviews button doesn’t work. I have to scroll down to that section manually now. There’s always a section of the page that just shows loading..., loading... these behaviors are consistent. it’s behaving like a poorly designed website that’s not taking into account I’m using a tablet. How is this acceptable?? Was this even tested?? Edit: the top bar vanishes when I browse around sometimes when loading a video of the product and then go back, the top bar vanishes. Can’t believe this is still not fixed. 0 stars",12/09/2021 22:43,amazon
25,WillGPo,1,FALSE,App periodically flashes to a white screen,"While attempting to view and scroll through the detail of a product, either from my saved products or from a new search, the app will periodically flash to a blank white screen, and just stay there. If I hit the back arrow, instead of returning to the product that I was trying to view, the app either returns me to the beginning of my saved products screen or to the search bar. It is very frustrating, because then I need to restart the process of relocating the product… either by scrolling though my saved products list or initiating a new search. I am running the latest version of the App on an iPhone 13 Pro, but it also happens on an older iPhone 7, also running the latest version of the App. I hope the product developers will see this feedback and take steps to correct. It has been an ongoing issue for months, now. I tried to submit feedback to the developers through the App Store, but the link just dumps me to Amazons general support page.",27/09/2022 22:15,amazon
26,Tee den,4,FALSE,Ratings after items received,"There needs to be a comment section after rating delivery service to add personal comments. Existing ratings are to general and needs to be individualize to each recipients experience. Giving the company insight on improvement.I recently had an item left at my side door as I specified luckily I noticed my delivery alert and retrieved my package, although I feel the service was good I believe the package should have been placed as close to the door  or home as possible rather than further away to prevent possible theft..it was very similar to placing an item on the front stoop for any and everyone to see the goal to make it as inconspicuous as able.. not to place it in the middle of the walk way as to alert others. This may be something that’s already stressed,But again adding a comment section might improve deliveries .",10/02/2021 18:49,amazon
27,MissMel01,1,FALSE,Ugh so bad,"Ever since the new interface it’s gone from bad to worse. The app is clunky and it freezes if I go back from an item page sometimes it resets me all the way back to page 1. Then I have to scroll down hit next and do that 5x to get back where I was. Sometimes images don’t load on the list pages. My WiFi is fine doesn’t happen anywhere else. They don’t make it any easier to shop with these issues.

I hate how they list orders now. All out of order and everywhere. 1 of my orders just fell off the wagon no notifications on THAT 1 supposed to arrive yesterday it’s a few miles away and now suddenly it’s 2-4 days before delivery and that is not at the top of my order list - a missed delivery! No it’s down at the bottom just above delivered but below all upcoming deliveries. Unreal. This should be a priority because it was missed it’s close by and there’s a shipping issue delaying multiple days and no explanation. 

The new interface is not user friendly. Prior to most recent update notifications were at the top to click (the bell) it’s gone now.",28/11/2020 16:37,amazon
28,come on amazon,2,FALSE,Annoying.,"Hands down the most annoying thing about this app is trying to see reviews left on products. God forbid you try to open a photo to view a product and swipe through other photo reviews. That would be too simple. You have to open and close each picture to see them, even if they’re part of the same review. However, if you look at the view all feature, there’s suddenly no problem in swiping through photo reviews. Makes no sense. 
Also, can’t tell you how many times I’ve been scrolling quickly through products and accidentally swipe the screen and lose my place since I’m forced to move back a screen. The app is so sensitive that just a simple caress and I’m no longer reading product descriptions and I’m back at the home page. 
You would think that a company that makes billions of dollars almost every day can afford to pay to have better app integration and UI/UX, or, you know, pay their employees more.",28/10/2020 4:45,amazon
29,K @ NorCal,5,FALSE,"My homepage icon bar with the home, profile and shopping cart icon as fallen and it can’t get up","HELP! It’s driving me crazy.  A few days ago my homepage icon bar with the home, profile and shopping cart icon as fallen to the bottom of my page and I cannot move it back to the top.  I’ve reinstalled app, changed my password, google searched, called customer service and they told me to leave a review on the App Store and I will be contacted by the developer. It drives me crazy because I cannot see through the bar and it gets in the way of scrolling and viewing my page.  In the last few days it’s changed back and forth at random.  Every time I think it’s fixed, it’s not long before it changed again.  I do nothing different, what gives?  Most importantly, HELP!!!!",04/09/2020 5:13,amazon
30,KJS53,1,FALSE,Latest version is extremely frustrating to use,"The most recent upgrade makes shopping very frustrating two major reasons: 1 you have either hidden or removed easy access to the share option when viewing detailed information for a product, and 2 your search engine refuses to honor filtering requests that attempt to limit purchase options for a given product line.

I often serve as a consultant for others asking for purchasing suggestions in my areas of expertise. This requires me to share the information with my clients. Your lack of a obvious share option forces me to use a web browser to get a link that can be easily share is a pain. Why are you afraid to allow an easily accessed share option on a product’s information page? 

When requesting option for a product type based upon brand, I DO NOT want to see products from other brands, I ONLY want to see options from the the brand selected in the filter. The filter was chosen for a reason, please honor it.",12/03/2021 14:45,amazon
31,Vdrumpro999,1,FALSE,Search is awful,"Update: search is still useless. iPad app is crap. 

Update: still awful. You can type an item title in word for word and STILL never find the item. I absolutely hate how crippled the search is. They want to steer you to certain products. You can’t use search tools like dog toys -cat -cats -food to keep the keyword spammers out You can’t filter by same day ship. “Add up to $35 worth” welll it’s real hard to do that when you don’t let us search by that criteria. You get different results depending on the search order. Filter by price-lowest and th search results CHANGE they just aren’t resorted. You can’t use “search only” or a model number. Type a model, the singular, 100% unique, ONLY model number you want and it will throw you a million non related results. You can’t use quotes to restrict a search like “Sony headphones” or will simply show you all headphones. It’s so AGGRAVATING THAT I OFTEN HAVE TO SHOP ON EBAY BECAUSE I CAN’T FIND THE ITEM IN THE WASTELAND OF UNRELATED RESULTS. What I hate the most is KNOWING This is Not a bug, it’s very much on purpose.",27/10/2022 20:16,amazon
32,Westeri,2,FALSE,New UI is bloated and broken,"The new UI is terrible. Instead of tidy text menus I have to scroll through a whole page of visual lists with horizontally scrolling images . It takes so long to find anything now. It’s overwhelming and uses so much space that often the thing I’m looking for is beyond the bottom of the screen. Having a fixed menu on the bottom is just bad design. Less vertical space and not where people look for a menu. 

It also rotates to portrait orientation on every screen change. How did QA miss that?  This app is nearly unusable on iPad now. If it’s the same bloated UI on the phone I feel sorry for phone users having to scroll endlessly to find what they’re looking for. The UX team needs to do more research before they roll out another frustrating redesign. Design should make life easier. If users have to put in more effort (more scrolling, more searching the screen, tapping through more options) then it’s bad design.",15/09/2021 20:41,amazon
33,Smileaf,3,FALSE,Recent version has orientation bugs,"I’ve searched the webpage for a way to report a bug to no avail. 
I always keep my iPad in landscape mode. Recently upon opening it switches to portrait mode, sometimes cutting off the bottom half the screen as if it doesn’t exist.
I have to tilt my iPad to portrait and then back to landscape which sometimes fixes it, most of the time the cutting of the screen gets worse or it ignores that I did anything and laughs in my face.
I just tried to submit a review and noticed it also for some reason had zoomed in on the page a bit cutting off right side of the screen. I could see it if I pinched the view in, but I couldn’t scroll right or keep it zoomed out which made writing the review extremely difficult.
As-is the app is nearly unusable for me and until its fixed I’ll be forced to use the web interface which isn’t quite as nice to use as the app.",14/09/2021 2:22,amazon
34,Reiskameraad,5,FALSE,What happened to the app??,"It’s become a carbon copy of the website on my iPad Pro, and I absolutely hate its cluttered appearance. Why have this “roll over image to view detail”, when I could so easily pinch and zoom the high definition images in the previous versions? Why can’t I scroll through images anymore, instead having to go back each time to click one by one? Who thinks that this is progress??? Bring the old version back! It was much easier to navigate!
Oh! And as was mentioned by so many other customers, what happened to the read reviews link? Used to be so simple. Now it’s like a scavenger hunt to find where you can actually go to read the reviews. I am so disgusted with all this, I’ve actually started using my Walmart app more than ever before.",21/11/2020 12:33,amazon
35,ZachtheRed,2,FALSE,Progressively worse,"More and more it’s harder to find things I know are available due to the results bringing up all sorts of things that have nothing to do with my search. The filters consistently remove items which makes it harder to compare without going through tons of pages. So many items are listed multiple times with no difference in price, seller, item, or prime availability which only makes searching tedious. Lately when I search for something I’ve bought it’s no longer at the top of results but gets removed from my list which is inconvenient. Finally the new layout to me is objectively worse for functionality but was pushed through because it looks “nicer” to whoever developed it. It loads slower, less shows up on the screen due to everything being 50% larger for some reason, and has made it slower browsing. Now I’ll be less likely to use the app to buy things more spur of the moment and buy fewer more necessary items on desktop.",25/08/2020 22:38,amazon
36,Yumi103,5,FALSE,Best App Ever!,Amazon’s App and Website is fantastic. But there app is wonderful. You can shop for anything at the top of your fingers. There app is easy to us and have great products and have a lot different items. It’s so easy to use and the app is well organized. You are able to track and see where your packages at without any hassle. And your packages come in time just like it will say when you order something. They nail it on delivery timing. I love this app and everyone I know loves it and I would recommend this and and having a prime member is great too but even without one you can still get whatever you are pretty much looking for. So I rate this app five stars. And my packages are on time and handled with care and the people you deliver are nice and respectful.,08/09/2020 1:04,amazon
37,gutierrez037,2,FALSE,Frustrating,I have been using this app for a couple of year now and everything was going fine until this year. I have tried to order twice and I haven’t received either or the packages. The first time I got a full refund but the second time they told me I got a refund and never actually gave me my money back. I tried telling customer service but I don’t think they believe me and i don’t know why. They told me I got my refund back but when you look at my gift card balance it’s 0. I haven’t ordered anything since I placed that order so I don’t know where the money went. I have been having such a hard time trying to communicate my problem to them but they just don’t seem to understand or want to believe me. I also tried sending them screenshots to show them I wasn’t lying but the email they gave me didn’t work. Then they said they would give me a $5 gifts card and I never got it either. This app has been frustrating me so much lately. I just want my packages.,16/08/2020 4:05,amazon
38,Mad Caddy,3,FALSE,Poor practice,"Not that anyone reads these things…

This is the second time making this since the first time was deleted… ensure you type it in a note 1st so that you can save it, and paste it in, FYI.

The top of my list of grievances is the poor algorithm filter for arrival date. if I filter and item search for items that arrive tomorrow, I should see a list of items that arrive tomorrow. instead what I see is 90% of the products say not even tomorrow usually the next day or later. Why are they in my list? Good question… It’s because of a “pay wall”. (It’s a thing just look at Twitter.) The have an option for expedited shipping next day if you pay $2.99. If I want to pay for expedited shipping that should be an alternate. It should not appear in my primary method of filtering. In other words, I only want items to appear in my search that are actually dedicated to arrive tomorrow. If that means I get one item or 10 items or zero. That’s fine, just don’t inundate me with products I can’t get when I want them.

Also since I’m airing my dirty laundry, the products sold or have such terrible quality from places like China. most people hocking them off of wish or Alibaba stocking up and selling them here. Thanks for fattening China’s economy… Real patriots we are. I have bought and will not anymore. It sickens me.",13/11/2022 1:46,amazon
