,title,userName,date,developerResponse,rating,review,isEdited
16,Problem with login,NajBas,2022-01-15 14:14:03,"{'id': 27472950, 'body': 'Hello, we are sorry that you had to face this issue, would you mind sharing your contact number on our email id: care@namshi.com and we will revert', 'modified': '2022-01-17T02:15:38Z'}",5,When i open the app it says session expired please log in again and i cant even do that cause this message keeps popping up. How can I get into the app?,False
17,the app glitches ALOT,shxyma,2019-02-24 10:55:39,"{'id': 7439716, 'body': 'Hello, We deeply apologize for the inconvenienced caused, please send us a video of the issue to service@namshi.com and we will be more than happy to help you, Thanks.', 'modified': '2019-02-25T00:58:40Z'}",3,"before the update the app was slow but functional, but now its literally IMPOSSIBLE to shop using the app because every time i try to check the sizes or add to my cart it just freezes and stops working. i’m genuinely a huge fan of the site but the app needs work to make the shopping experience smoother and more practical.",False
18,Worst Online Shopping Experience,Salem_GX,2022-09-05 15:10:39,"{'id': 31878730, 'body': 'Hello, We are extremely sorry to hear about your concern regarding your recent experience. This is certainly something we would want to deep dive into. Kindly share your contact number on our email id: care@namshi.com and we will get back to you shortly', 'modified': '2022-09-07T00:04:59Z'}",1,In my one and only shopping experience with Namshi my order was cancelled without any notification saying that I could not be reached when no one has contacted me AT ALL. I have contacted the support twice and they did not help at all. I’ve shopped online for many years from well known Apps I have never encountered this problem before. I’m never using Namshi or recommending it to anyone at all 👎🏻,False
19,Poor customer service,rico olguera,2021-06-07 12:46:28,"{'id': 23272029, 'body': 'Thank you for sharing your comment, Please accept our apologies for any inconvenience you have experienced, please contact us at care@namshi.com and we will work to resolve the issue as soon as possible, Have a nice day.\r', 'modified': '2021-06-08T20:01:54Z'}",1,"I returned some items for size exchange. It took weeks before they pick the items and took over a week after they deliver the replacement. When the replacement arrived, it is still the same items i receive before. Very disappointing. Also, customer service responds so slow, takes days before I receive any reply from my email.",False
20,Love it but we need more,bbj love hhh,2019-11-23 09:31:37,"{'id': 12467354, 'body': 'Hello, We’re sorry we can’t confirm if or when this size will be back in stock, however, we would recommend you click on the "" notify me"" option available underneath sizes of the product page. Thanks. ', 'modified': '2019-12-18T12:55:11Z'}",4,"I really enjoy shopping form namshi good quality and every thing but the sizes run out really quick and don't com back soon we need more stuf and btw the app is a bit slow over all it is one of the best shopping apps .

Thank you namshi",False
21,Return product,lady in red 23,2021-06-03 07:48:49,"{'id': 23196924, 'body': 'Thanks for sharing your comment. We are sorry that your experience did not match your expectations. This was an uncommon situation and we want the opportunity to further investigate your comment. Could you email us at care@namshi.com and we will work with you to resolve any issues as quickly as possible.', 'modified': '2021-06-04T11:44:34Z'}",1,"Very bad service i bought 5 items from NAMSHI i wanted to return the dress .. since 9th May they no one came to collect the dress they keep sending me emails give us 48 to 72 hours it’s almost a month still the dress with me.
Their things out of fashion.. the sizes not correct and the materials bad 
Im not happy with them i will never order any thing again and i will remove the app from my phone",False
22,Excellent App,Oum Alyazeed,2019-06-10 13:46:54,,5,"The quality of the products are excellent, the service is perfect and the delivery was exactly on time as estimated. I greatly recommend to install this app for online shopping. They also have great offers.",False
23,Missing items,mahmoud elhalby,2021-07-08 02:22:30,"{'id': 23838055, 'body': 'Hello, We are so sorry to hear that, Kindly feel free to email us at (care@namshi.com) with the order number so we can assist you in the best way.', 'modified': '2021-07-09T09:01:19Z'}",1,"I got half of my delivery items only , when i asked they said to me we need 7 days to get you items , no one responding from customer service to my requests ! No one reply my emails on contact us , I didn’t get the rest of the items ! Don’t start shopping with big orders with Namshi as they can’t handle, and i start to feel it’s a scam because no one get back to me",False
24,The new update,Kingggsarah,2019-01-27 17:40:17,"{'id': 7065552, 'body': ""Can you please do the following : \n1. Go to settings app in the phone\n2. Open 'apps'\n3. Find Namshi and go the app details screen\n4. Press 'clear all data' / 'clear cache'\n\nThanks,"", 'modified': '2019-01-29T13:50:59Z'}",5,"Even with the new update. The app keep lagging and freeze. 
I hope this problem gets fixed soon because it's very disappointing and frustrating.",False
25,Places order but does not deliver,namshi_unhappy,2021-12-10 19:56:18,"{'id': 26775113, 'body': 'Hello, Please accept our apologies for any inconvenience, Kindly contact us through ( care@namshi.com ) to assist you in the best way possible, Have a blessed day 🌹\r\n', 'modified': '2021-12-12T03:40:17Z'}",2,This app promises 1-2 day delivery. It did not happen for many of my orders. So when I reached out to them they say it is upto 7 days to ship and then 12 days to deliver after that. I have products that are ordered and in processing since last 2-3 weeks. No updates. Disappointed with the service.,False
26,They stole my money,azlz84,2021-09-15 01:09:50,"{'id': 25137389, 'body': ""Hello, we are extremely sorry about the shopping experience you've had with us. We assure you that this isn't the experience we intend to provide. can you please contact us on care@namshi.com and will do our best to assist you , Thanks"", 'modified': '2021-09-16T08:20:51Z'}",1,"If I can give this store zero star I would!!!
I ordered couple of things then canceled my order an hour after I placed it, they retuned my money but they didn’t give me my shipping cost which was 50$. I contact them couple of times and every time they will say they will return it but they didn’t, it’s been now almost two months andI didn’t  get it back .",False
27,I can’t refine my options with sizes anymore!,RawiahQ,2019-04-24 10:46:47,"{'id': 8358676, 'body': 'Hello Rawiah, please get in touch with us on this link and share us a screenshot of the issue: https://bit.ly/2ICETmY   Thanks,', 'modified': '2019-04-24T21:54:30Z'}",4,"Hey  Namshi, the app used to have in each section a refine option for color, price, ...etc
But now after ur last update the size option is gone! Please consider this issue cuz it’s so important with searching..",False
28,Restocking,omar12334,2022-03-24 16:40:57,"{'id': 28791115, 'body': 'Hello , thank you for your  feedback and valuable suggestion , we apologize for the inconvenience , you can contact us on (care@namshi.com) and we would be happy to assist you further, thank you\r\n', 'modified': '2022-03-26T04:29:11Z'}",4,It’s a really good app but the one thing that is bothering me which is the fact that the company does not restock often which makes the stuff you want hard to get,False
29,Make my life easy,jublle,2019-03-20 18:21:33,,5,"I am a Muslim woman live in USA , but love to have Abaya from original Muslim country , one of the finest fabric is from Dubai one of I am searching from my Muslim clothes .
I found it in NAMSHI , hope I can find more variety Abaya or Muslim dress in this website .",False
30,Great products.,NJasd,2021-06-17 07:11:40,"{'id': 23457173, 'body': 'We are so obliged by your 5-star review. Thanks for sharing your rating with us and the community.\r', 'modified': '2021-06-18T10:23:59Z'}",5,Love ordering just wish the delivery was better. I keep getting my packages late at night and it takes days!,False
31,NAMSHI is my go to,taftor_211,2022-01-25 15:17:34,"{'id': 27682340, 'body': 'Hi, thank you for the awesome rating. We really appreciate it. See you soon 💛💛', 'modified': '2022-01-26T19:17:26Z'}",4,They have a wide selection of brand and it is great overall! I have been looking for real genuine vans online forever but NAMSHI had it in my size and everything! It was a total life saver,False
32,Love it,skoooory,2018-03-05 23:04:42,"{'id': 2800264, 'body': 'Appreciate your kind words and we hope to see again :)', 'modified': '2018-03-12T08:38:06Z'}",5,I love this app its fast to deliver perfect if you’re looking for something in particular that you cant find in stores (sold out or other colors) I highly recommend,False
33,Always reliable,s-mystified,2022-07-28 17:10:48,"{'id': 31180550, 'body': 'Hi, Thank you for taking the time to write this review. Your kind words encourage us greatly. Happy shopping! 💛💛\r\n\r\n', 'modified': '2022-07-30T10:17:55Z'}",5,NAMSHI restored my faith in online shopping. They have the best customer service and sales policy. And no matter what season it is delivery is always on time.,False
34,They Hold my money!!!!!,M&k Jannah,2018-08-10 16:28:02,,1,Hi guys! If anybody will order by cash on delivery i want you know that if you return your order they will not give you money back!!!! They will charge your namshi kredit and they will let you buy another things by strong 💪 because you will not can transfer your money to your credit card.. so I order one time and i will not shopping with Namshi again! They are liers and bad rules,False
35,the worst app ever,ifahadalharbi,2021-12-19 14:33:28,"{'id': 26959280, 'body': 'Hello, we are sorry that you had to face this issue, would you mind sharing your order number on our email id: care@namshi.com and we will revert, thank you ', 'modified': '2021-12-21T03:23:36Z'}",1,I ordered from them literally 21 days ago and I still didn't get my order! and their customers service + their policy are the worst ever! If you pay for anything online you can't get your money back they maybe gonna give you an online points or they're not going to give you anything .. 👎🏼👎🏼👎🏼,False
36,Worse Online Shopping Experience,Adnan Ghafoor,2018-10-02 03:23:22,,1,"I bought Shoes from Namshi by Robert Woods
I have wasted my money it was my first and last order. The quality of shoes was pathetic and shoes are so tight that it made red rashes on my feet and even I ordered the size that fits my foot for all shoes. It is so tight and the making of shoes is worse that why they sell it online at AED 150 only And the heels of shoes has rubbed away only after 1 week use. I requested Size change but the delivery people responded so late.

There are wrinkles and damage leather on top of shoes. I dont like it anymore and I am writing review to aware people that please don't buy shoes online. 

Will never suggest anyone to buy shoes online.",False
37,Horrible customer service,RZAK90,2021-12-25 04:07:16,"{'id': 27052147, 'body': ""Hello, We are extremely sorry about the shopping experience you've had with us , We assure you that this isn't the experience we intend to provide . Can you please contact us on care@namshi.com and will do our best to assist you , Thanks🌹\r\n"", 'modified': '2021-12-26T08:14:19Z'}",1,"My order is a week late and every day I call to follow up someone tells me it will arrive today; this has happened 5 days a in a row and there is no communication from Namshi, no update on my parcel, and now someone has lost out on a Christmas gift because of Namshi. Never ordering again. 👎🏼",False
38,Rating,m y abdulla,2021-11-28 17:10:39,"{'id': 26549495, 'body': 'Hi, thank you for the awesome rating. We really appreciate it. See you soon 💛💛\r\n', 'modified': '2021-11-30T03:47:28Z'}",5,"I feel I can find my favorite here when I couldn’t find it on other app
Thanks",False
39,wonderful app,Lil-criminal,2017-09-27 15:36:25,,5,"I have bought a lot of stuff and everything is totally original 
I strongly recommend this app",False
40,Why one star?,د.أمل,2019-11-22 11:13:39,"{'id': 12467286, 'body': 'Hello,  We are really sorry you feel this way. Please tell us more about your experience at https://bit.ly/2ICETmY, and we will help you in the best possible manner. Thanks. ', 'modified': '2019-12-18T12:50:48Z'}",4,Because not solving my problem yet..sent emails and no rply.. you canceled one of my orders without informing me before and till now not giving me money back of my !!!,False
41,App improvement,aishaeissa,2021-05-26 06:47:05,"{'id': 23045347, 'body': 'We thank you for the valuable feedback and it has been raised!.', 'modified': '2021-05-27T12:16:05Z'}",3,Put an option for customers to put pictures and reviews see the clothes can be seen in different body types,False
42,Fake promotion,Mohamed Hafil,2021-08-20 11:49:56,"{'id': 24639492, 'body': 'Hello, Please accept our apologies for any inconvenience you have experienced, Kindly contact us through (care@namshi.com) to assist you in the best way possible, Have a blessed day .', 'modified': '2021-08-22T03:45:07Z'}",1,"Trying to fool the people with fake 100 riyal promotion. While selecting a product with the discount promotion, the amount is discounted. Then while you proceed to the payment it says “the coupon is not valid” and finally you have to pay actual value of the product without discount.
I’m so disappointed!!!",False
43,Used to be good,Architect.Shery,2019-05-21 13:52:17,"{'id': 8456007, 'body': 'We deeply value your relationship with us and thank you for showing so much Love. Hope to see you again. Happy Shopping!', 'modified': '2019-05-21T13:52:17Z'}",2,"I used to like Namshi,but for now it became horrible,customer service lose the trace of their shipments,shipments came way late than said on app,returning shipments is hassle,everyday I call to complain about the late shipments or the stuff I need to exchange,as if they are hearing it for the first time,and they do not follow up with the shipping company",True
44,Amazing,10jana,2017-12-03 16:32:54,,5,"Would like if u can put toys and squishies in the app also
But it's amazing the shipping prize is good 
The time it takes to come is about 5 days to 2 weeks maximum
❤️",False
45,Bad service,Reham.....,2022-05-15 10:55:12,"{'id': 29779226, 'body': 'Hello, Please accept our apologies for any inconvenience you have experienced, kindly help us with your order number or registered mobile number to our email id: care@namshi.com and we will look into this. Thanks\r\n', 'modified': '2022-05-16T17:03:43Z'}",1,"Very bad service..almost more than one month to deliver my shipment and till now I don’t get it This is my last time to use this application
I called a lot to solve my problem but nothing even the cancellation of the same shipment it’s not processedAt the end they took my money and I didn’t get my shipment",False
46,The best website in the UAE,louloulexi,2022-01-31 13:55:55,"{'id': 27793324, 'body': '""Thank you for taking the time to write this review. Your kind words encourage us greatly. Happy shopping!\n💛💛""', 'modified': '2022-02-01T19:42:23Z'}",5,"Honestly, I wish all products I needed in life are on NAMSHI, it’s the fastest delivery, best customer service and they have such amazing discounts on items. Love love love!",False
47,Love this app!,nimshi❤️,2020-04-24 08:27:44,"{'id': 15022965, 'body': 'We deeply value your relationship with us and thank you for showing so much Love. Hope to see you again. Happy Shopping ❤️ ', 'modified': '2020-04-30T21:35:17Z'}",5,"This is an amazing app!!!! I’ve been using this since along time and it has gone great the price is amazing 😉!

Love this app!!! For people that say this app is horrible shame on you!🙄.  🥰🌸",False
48,RECOMMENDED!,Rayanah7,2017-10-27 09:23:30,,5,"Variety of brands, new collections, 100% authentic, new stuff added almost every other day! basically everything you need.",False
49,Good super quick service,Beebee_noair,2022-10-13 13:14:30,"{'id': 32587963, 'body': 'Hi, thank you for taking the time to leave your review. It’s great to hear that you enjoy shopping using our app! 💛💛', 'modified': '2022-10-15T09:53:43Z'}",5,I ordered the sneaker in the afternoon and I got it in the evening same day. I’m so impressed with the service.,False
50,Amazing products,Mnralshammari,2020-04-03 03:11:55,"{'id': 14741223, 'body': 'Appreciate your kind words and we hope to see again :)', 'modified': '2020-04-17T21:31:10Z'}",5,With namshi app Thank god i dont have to go to malls to shop. Thank you namshi management please keep up the excellent job,False
51,Thanks alot Namshi ....I am ur loyal customer,Dr H.H,2020-07-21 13:48:30,,5,Its the best site ever to order from ... I receive shipments faster than the one i order from my same area !!,False
52,Great app and deserve 5 stars,Meem-mr,2018-01-19 03:13:09,,4,"I would rate it 5 stars but there are no much choices for kids, hope U add more 😊, other than this, it’s great and I recommend it.. Even the return procedure is so easy 👍🏽",False
53,This version is a disaster,FatimaAzzahra,2019-03-20 09:56:18,"{'id': 7875095, 'body': ""Hello, We recommend that you delete the app and download the latest version, please don't hesitate to get back to us in case you faced any other issue, Thanks :)"", 'modified': '2019-03-24T13:25:02Z'}",4,When i click on an item to view it the app starts buffering and then totally shuts off.,False
54,Namshi is helpful,لطوفة,2017-12-30 07:05:09,,5,"To be honest, my friends told me about that app and they said that it was so helpful for them and iam sure that there are a lot of people that loves this app",False
55,Disappointed,Subzdxd,2020-05-03 10:58:36,"{'id': 15139658, 'body': 'Hi, we are sorry that you faced an issue. Could you please share your contact details with us on https://bit.ly/2ICETmY so that we can get in touch with you and resolve the issue.', 'modified': '2020-05-06T19:32:19Z'}",1,"I ordered a few things in the UAE. The experience is ok.

I also ordered a few things while on a trip to Riyadh. The experience was terrible. They, for starter, asked me via email for ID for no clear reason. The order was not confirmed even though I paid. I don’t know if they will deliver it or not. 

What’s even more unprofessional is that to contact them they ask you for information they didn’t provide. Very smart from them to ease the load of their CX team but unprofessional at the least to customers.

I’ll never order anything from NAMSHI again.",False
56,Sm love,SebaYous,2019-09-13 21:51:14,"{'id': 10725208, 'body': 'It is delightful to hear such positive words and it’s always a pleasure to serve our customers.', 'modified': '2019-09-17T11:46:55Z'}",5,"I freaking love this app it is everything,  and I ordered so much stuff from it and I will still do, highly recommend",False
57,My review,dislike👎🏻,2021-11-26 00:15:45,"{'id': 26503212, 'body': '""نشكرك على إختيارك نمشي كوجهتك للتسوق و نأمل أن تحظى منتجاتنا و خدماتنا على رضائكم دوماً , نتمنى لك يوم سعيد\u200e🌹\r\n""', 'modified': '2021-11-27T03:06:52Z'}",5,I really do love you namshi you are the best can’t wait to  receive my order😍,False
58,Return,douha90,2022-02-10 16:25:29,"{'id': 27997771, 'body': 'Hello, we are very sorry for the inconvenience, kindly help us with your order number or registered mobile number to our email id: care@namshi.com and we will look into this. thanks ', 'modified': '2022-02-11T20:44:40Z'}",1,When i did the return to one showed up to pickup a return plus when i did cancel my previous order they didn’t return the money into my card instead they return it as Nemshi credit which I didn’t want. Bad return service,False
59,Unprofessional app,Mubarki,2018-05-24 11:40:01,"{'id': 3628315, 'body': 'Hello, We deeply apologize for the inconvenienced caused, please share your order number and we will get back to you right away. Thank you', 'modified': '2018-05-29T00:42:46Z'}",1,"It’s distracting unprofessional way to attract the customers 
We find the items are totally different then they’ve been talking about them
And some of them aren’t original so the materialistic is too bad 
In fact this isn’t way to improve just one way witch stop lying on the customers really it’s totally disgusting .",False
60,Note,lamaa2299,2021-07-29 16:37:17,"{'id': 24225992, 'body': 'Hello, Please accept our apologies for any inconvenience you have experienced, Kindly contact us through (care@namshi.com) to assist you in the best way possible , Have a blessed day 🌹\r\n', 'modified': '2021-07-31T03:41:55Z'}",4,The quality and size reaches wrong sometimes,False
61,Buying,Abu Marriam,2021-07-26 19:37:07,"{'id': 24189083, 'body': 'Thank you so much for your valuable feedback and the 5-star rating🌹\r\n', 'modified': '2021-07-29T03:41:03Z'}",5,It’s a good application For me I will recommend everyone to use it,False
62,Amazing selection and insanely fast delivery!,Asdlkhfsdeema,2020-01-09 13:02:40,"{'id': 12946773, 'body': 'Appreciate your kind words and we hope to see again :)', 'modified': '2020-01-16T08:35:52Z'}",5,They deliver insanely fast within Dubai and they have a great selection and variety of items,False
63,Namshi is great,Tezap,2018-08-10 08:09:25,"{'id': 4613635, 'body': 'Your appreciation matters a lot and motivates us to work even harder to make your shopping experience wonderful.\nHope to see you again and a big thanks for choosing Namshi. :)', 'modified': '2018-08-10T23:24:39Z'}",5,"It’s really great to shop on namshi app
Get amazing prices all the time and delivery never took long
And their product is 100% original",False
64,Order,Norriepie,2021-11-28 01:45:07,"{'id': 26525480, 'body': 'Hello, Please accept our apologies for any inconvenience , Kindly contact us through ( care@namshi.com ) to assist you in the best way possible , Have a blessed day 🌹\r\n', 'modified': '2021-11-29T06:53:48Z'}",1,First time to order but failed to deliver. Several times I followed up through whatsapp but I got no answer. So disappointed they dont care about their customer. I spend SR 700 + and just waisted my money like that. Not even return in my acct. so sad and disappointed!,False
65,Overall Rate,Louie 121081,2021-05-08 17:33:31,"{'id': 22822671, 'body': 'We are incredibly grateful that you took the time out to leave us a 5-Star review. Also,We have forwarded your feedback to our Marketing Team.', 'modified': '2021-05-15T15:06:22Z'}",5,"i love NAMSHI because all brands are original, authentic. The problem is, it’s very expensive. Tax is very high.",False
66,Next day delivery,FIBlake,2021-01-12 20:28:18,"{'id': 20392199, 'body': 'Hello! Thank you so much for this 5-star review. We really cherish you being a customer and helping to share the word about us. We’re here for you anytime.', 'modified': '2021-01-14T06:36:18Z'}",5,User friendly app and great variety of brands with good quality.,False
67,I lovee Namshi,amaziiiiiiiiiing apppppps,2020-08-02 18:44:32,"{'id': 23542169, 'body': 'Thank you so much for this 5-star review. We really cherish you being a customer and helping to share the word about us. We’re here for you anytime.\r\n', 'modified': '2021-06-23T10:17:55Z'}",5,"A great app, i bought accesories for my kitchen  and even beautiful clothes for me and my familly.. the best of all is pay cash❤️❤️",False
68,My favorite apple cation,jamilah001saa,2018-09-24 04:54:23,"{'id': 5231565, 'body': 'Thank you Jamilah, We are happy because you are happy :)', 'modified': '2018-09-25T23:47:56Z'}",5,"I like what them do seriously perfect and the system 😑wow clearly amaaazing thank u so much really you’re the best,,❤️",False
69,Great Quality,رئع,2018-05-02 23:11:25,,5,The price that you pay to get this stuff it’s worth it.,False
70,Amazing,Beezlindi,2022-07-16 18:08:09,"{'id': 30932384, 'body': 'Hi, thank you for the awesome rating. We really appreciate it. See you soon 💛💛\r\n', 'modified': '2022-07-17T19:49:44Z'}",5,Namshi is an amazing online shopping portal. A large variety of products and products and speedy shippin.,False
71,Not synced with the website,ndkekdiwowhickuconcb8772001,2018-11-22 06:30:07,"{'id': 6536145, 'body': 'Hey, it is working fine now with a new update :)', 'modified': '2018-12-24T22:11:42Z'}",2,"Hello, I sometimes simultaneously use the website and app at the same time and it would be nice if the things I save on my wish list would appear from one platform to the other.",False
72,Thank you NAMSHI,Heba Eid,2018-03-09 10:51:44,,5,"Very nice quality, never been disappointed from my order.",False
73,Never try to return something,..f?,2019-08-13 17:52:49,"{'id': 10213476, 'body': 'Hello, we truly apologize for any inconvenience, please provide us with your order  number so we can assist you ASAP, Thanks :)', 'modified': '2019-08-17T15:00:48Z'}",1,"They will make it a big deal and they won’t make it easy for you, u would feel like it’s not even ur money that u want to get back . and l can’t even begin to tell how much excuses they have. P.S. there’s some real bad clothes brands there so stuck with what you know.",False
